user_id,TM_DayTrip_Freq,tier_status,ADT,city,travel_time_mins,age_grp,TM_gaming_trip,TM_gaming_day,TM_gaming_day_weekday,TM_gaming_day_weekend,TM_hourplayed,TM_hourplayed_TG,TM_hourplayed_ETG,TM_hourplayed_SLOT,TM_twin,TM_twin_TG,TM_twin_ETG,TM_twin_SLOT,TM_avgbet,TM_avgbet_TG,TM_avgbet_ETG,TM_avgbet_SLOT,L12M_gaming_trip,L12M_gaming_day,L12M_gaming_day_weekday,L12M_gaming_day_Fri,L12M_gaming_day_Sat,L12M_gaming_day_Sun,L12M_hourplayed,L12M_hourplayed_TG,L12M_hourplayed_ETG,L12M_hourplayed_SLOT,L12M_twin,L12M_twin_TG,L12M_twin_ETG,L12M_twin_SLOT,L12M_avgbet,L12M_avgbet_TG,L12M_avgbet_ETG,L12M_avgbet_SLOT,L12M_roomnight,L24M_gaming_trip,L24M_gaming_day,L24M_gaming_day_weekday,L24M_gaming_day_Fri,L24M_gaming_day_Sat,L24M_gaming_day_Sun,L24M_hourplayed,L24M_hourplayed_TG,L24M_hourplayed_ETG,L24M_hourplayed_SLOT,L24M_twin,L24M_twin_TG,L24M_twin_ETG,L24M_twin_SLOT,L24M_avgbet,L24M_avgbet_TG,L24M_avgbet_ETG,L24M_avgbet_SLOT,L24M_room_night,trip_twin,trip_bet,trip_gaming_day,trip_hour_played,primary_game_at_first_stay,experiment_type,TM_ADT,adt_jump_L24_to_L12,adt_jump_L12_to_TM,eligible_for_host
A11394,3,Premium,799,Makati_BGC,75.6,51 - 60,2,3,3,0,3.813,0.0,3.679,0.134,37587,0,37325,262,9107,0,9438,44,2,2,0,0,2,0,10,1,1,2,34093,2359,9040,5555,1547,2365,5942,51,0,7,10,6,1,3,0,27.774,1.231,4.692,6.928,101908,2797,23867,25325,1469,1932,4395,67,1,18794,4549,1,1,SLOT,ETG_CROSS_SELL,12529.0,False,False,False
A1140,3,Elite,441,QC,155.4,51 - 60,3,3,2,1,5.947,0.375,4.066,0.0,26388,305,18998,0,3346,219,3670,0,1,1,1,0,0,0,0,0,0,0,131,0,131,0,1604,0,1604,0,0,3,4,2,0,0,2,3.698,0.0,0.459,1.615,1573,0,394,590,161,0,1248,7,1,8792,1108,1,1,SLOT,ETG_CROSS_SELL,8796.0,False,True,False
A11873,1,Prime,304,QC,155.4,41 - 50,1,1,1,0,0.711,0.0,0.711,0.0,2654,0,2654,0,3522,0,3522,0,2,2,2,0,0,0,2,0,2,0,7844,0,7844,0,4322,0,4322,0,2,5,6,5,1,0,0,10.229,1.027,6.365,0.0,40018,3176,26988,0,3638,789,4504,0,5,2654,3514,1,0,SLOT,ETG_CROSS_SELL,2654.0,False,False,False
A11984,1,Maharlika,689,Makati_BGC,57.6,41 - 50,1,1,1,0,0.146,0.146,0.0,0.0,350,350,0,0,3281,3281,0,0,1,2,0,1,1,0,6,0,4,0,5599,0,3820,95,725,0,799,19,7,6,8,1,3,4,0,21.088,0.0,13.093,1.714,21331,0,14070,1495,577,0,765,21,7,350,3281,1,0,SLOT,ETG_CROSS_SELL,350.0,False,False,False
A12157,1,Premium,95,Makati_BGC,57.6,Above 60,1,1,0,1,0.422,0.422,0.0,0.0,1184,1184,0,0,2187,2187,0,0,2,2,0,1,0,1,1,1,0,0,3067,3067,0,0,2187,2187,0,0,1,4,5,1,1,1,2,3.423,3.423,0.0,0.0,11398,11398,0,0,2803,2803,0,0,4,1181,2187,1,0,SLOT,ETG_CROSS_SELL,1184.0,False,True,False
A12173,1,Elite,27,QC,333.6,Above 60,1,1,1,0,0.172,0.172,0.0,0.0,394,394,0,0,3450,3450,0,0,1,2,0,1,1,0,2,2,0,0,4878,4878,0,0,2933,2933,0,0,2,2,4,0,1,2,1,2.841,2.841,0.0,0.0,8183,8183,0,0,3132,3132,0,0,4,394,3441,1,0,SLOT,ETG_CROSS_SELL,394.0,False,False,False
A12333,1,Elite,114,Makati_BGC,57.6,51 - 60,2,2,1,1,3.516,0.962,0.0,0.921,4481,1914,0,500,371,811,0,9,2,2,1,0,0,1,4,2,1,0,6197,3492,131,0,471,612,308,0,0,3,3,1,0,1,1,4.198,1.752,0.602,0.0,6402,3697,131,0,496,666,308,0,2,2231,175,1,1,SLOT,ETG_CROSS_SELL,2240.5,True,True,True
A12442,3,Elite,1082,Pasay,195.6,41 - 50,1,3,3,0,8.659,2.643,2.122,0.0,84654,6008,41305,0,8591,859,18538,0,1,2,2,0,0,0,4,1,0,1,14249,2459,73,4593,1092,1423,593,944,0,7,12,11,1,0,0,16.641,13.307,0.137,1.167,57402,45612,73,4593,1104,1125,593,944,1,84651,8588,3,8,SLOT,ETG_CROSS_SELL,28218.0,False,True,False
A12484,1,Elite,228,QC,240.6,Above 60,1,1,1,0,1.841,0.0,1.841,0.0,2129,0,2129,0,971,0,971,0,2,2,1,1,0,0,12,0,7,0,10194,606,5059,0,966,1094,883,0,0,10,18,15,3,0,0,100.42,30.186,25.653,0.192,121006,45997,22584,277,812,705,885,29,7,2129,962,1,1,SLOT,ETG_CROSS_SELL,2129.0,False,False,False
A12528,1,Prime,23,Makati_BGC,57.6,51 - 60,1,1,1,0,0.268,0.0,0.0,0.268,239,0,0,239,26,0,0,26,2,2,0,0,1,1,2,0,0,1,1605,0,44,1123,61,0,323,28,0,5,5,1,0,1,3,4.444,0.0,0.099,3.861,4465,0,44,3984,41,0,323,28,2,233,15,1,0,SLOT,ETG_CROSS_SELL,239.0,False,True,False
A12620,1,Elite,1555,Manila,0.0,41 - 50,1,1,0,1,13.101,3.347,0.364,0.656,27381,8063,233,831,2883,3681,656,47,2,2,2,0,0,0,15,15,0,0,50472,50472,0,0,2862,2862,0,0,1,3,3,2,0,0,1,19.706,19.706,0.0,0.0,61165,61165,0,0,2626,2626,0,0,1,27381,2872,1,13,SLOT,ETG_CROSS_SELL,27381.0,True,False,False
A12858,1,Prime,129,QC,267.0,51 - 60,1,1,0,1,5.396,1.433,1.265,0.0,5671,2238,598,0,705,994,379,0,2,2,0,0,1,1,9,2,2,0,19710,5999,1064,128,399,447,363,22,2,3,3,0,0,2,1,11.674,2.389,2.508,0.303,24874,7470,1152,292,401,470,363,35,2,5657,700,1,5,SLOT,ETG_CROSS_SELL,5671.0,True,True,True
A12868,1,Prime,141,Makati_BGC,41.4,51 - 60,1,1,0,1,0.749,0.749,0.0,0.0,2227,2227,0,0,547,547,0,0,2,2,0,0,0,2,1,1,0,0,3666,3666,0,0,547,547,0,0,0,6,6,2,0,2,2,2.348,2.348,0.0,0.0,8675,8675,0,0,515,515,0,0,2,2216,539,1,0,SLOT,ETG_CROSS_SELL,2227.0,False,True,False
A12955,1,Elite,6,Pasay,224.4,31 - 40,1,1,1,0,0.141,0.0,0.0,0.141,86,0,0,86,30,0,0,30,1,1,1,0,0,0,1,0,0,0,1157,222,0,356,145,547,0,39,0,1,1,1,0,0,0,0.668,0.07,0.0,0.264,1157,222,0,356,145,547,0,39,3,73,29,1,0,SLOT,ETG_CROSS_SELL,86.0,True,True,True
A1308,2,Elite,286,Mandaluyong_Pasig,49.8,Above 60,2,2,2,0,2.751,2.751,0.0,0.0,3455,3455,0,0,651,651,0,0,2,2,1,0,1,0,6,6,0,0,13510,13510,0,0,1082,1082,0,0,1,17,28,17,6,4,1,46.004,43.127,0.0,0.94,83897,79839,0,1094,1095,1129,0,28,1,1720,321,1,1,SLOT,ETG_CROSS_SELL,1727.5,False,True,False
A13180,2,Prime,117,Makati_BGC,52.2,41 - 50,1,2,2,0,1.957,1.957,0.0,0.0,3664,3664,0,0,437,437,0,0,2,2,2,0,0,0,3,2,0,0,4386,2873,0,44,365,352,0,29,1,5,5,4,0,1,0,8.63,6.319,0.0,0.08,14144,10352,0,87,394,399,0,29,2,3660,437,2,1,SLOT,ETG_CROSS_SELL,1832.0,False,True,False
A13418,1,Prime,208,Makati_BGC,57.6,Above 60,1,1,1,0,0.318,0.318,0.0,0.0,980,980,0,0,547,547,0,0,2,2,1,0,0,1,2,2,0,0,5078,5078,0,0,547,547,0,0,0,5,5,4,0,0,1,2.762,2.762,0.0,0.0,9087,9087,0,0,522,522,0,0,4,977,539,1,0,SLOT,ETG_CROSS_SELL,980.0,False,True,False
A13525,1,Elite,30,Manila,0.0,31 - 40,1,1,0,1,0.383,0.0,0.0,0.383,855,0,0,855,65,0,0,65,2,2,2,0,0,0,1,0,0,1,849,0,0,849,76,0,0,76,0,2,2,2,0,0,0,0.595,0.0,0.0,0.595,849,0,0,849,76,0,0,76,2,846,58,1,0,SLOT,ETG_CROSS_SELL,855.0,True,True,True
A13711,1,Elite,92,QC,155.4,51 - 60,1,1,1,0,1.094,1.094,0.0,0.0,1633,1633,0,0,2273,2273,0,0,2,2,0,0,1,1,0,0,0,0,1195,1195,0,0,3056,3056,0,0,0,3,3,0,0,2,1,0.457,0.457,0.0,0.0,1584,1584,0,0,2771,2771,0,0,4,1633,2260,1,1,SLOT,ETG_CROSS_SELL,1633.0,True,False,False
A13739,1,Elite,220,Makati_BGC,45.0,51 - 60,1,1,1,0,3.274,1.18,0.457,0.0,6428,2850,365,0,595,547,721,0,1,1,1,0,0,0,1,0,0,0,1986,905,87,0,503,437,875,0,0,7,7,6,0,0,1,29.778,8.755,7.754,0.0,60501,15269,19202,0,1195,446,2174,0,2,6415,583,1,3,SLOT,ETG_CROSS_SELL,6428.0,False,True,False
A13927,1,Prime,9,QC,267.0,31 - 40,1,1,1,0,0.025,0.0,0.0,0.025,28,0,0,28,101,0,0,101,2,2,1,0,1,0,4,0,0,4,2318,0,0,2318,14,0,0,14,1,3,3,1,0,1,1,4.928,0.0,0.0,4.928,6017,0,0,6017,26,0,0,26,1,15,87,1,0,SLOT,ETG_CROSS_SELL,28.0,False,True,False
A14155,1,Prime,7,Makati_BGC,46.2,41 - 50,1,1,1,0,0.093,0.0,0.0,0.093,108,0,0,108,22,0,0,22,1,1,0,0,0,1,1,0,0,1,758,0,0,758,15,0,0,15,1,7,7,2,0,3,2,3.5,0.0,0.0,3.5,3054,0,0,3054,18,0,0,18,1,102,15,1,0,SLOT,ETG_CROSS_SELL,108.0,False,True,False
A14178,1,Prime,40,Makati_BGC,75.6,41 - 50,1,1,1,0,0.48,0.112,0.0,0.128,1139,351,0,219,220,437,0,29,2,2,0,0,1,1,0,0,0,0,652,593,0,58,393,437,0,73,0,5,5,0,1,2,2,1.852,0.677,0.0,0.355,3423,1629,0,408,291,437,0,42,2,1137,219,1,0,SLOT,ETG_CROSS_SELL,1139.0,False,True,False
A1436,1,Prime,119,Makati_BGC,57.6,Above 60,1,1,1,0,0.959,0.959,0.0,0.0,1568,1568,0,0,1094,1094,0,0,2,2,0,1,1,0,4,2,0,0,9833,4858,15,44,1051,1094,365,29,0,6,6,0,1,4,1,18.19,15.997,0.051,0.049,42451,37476,15,44,1118,1132,365,29,1,1560,1094,1,0,SLOT,ETG_CROSS_SELL,1568.0,False,True,False
A1454,1,Elite,284,Makati_BGC,46.2,51 - 60,1,1,0,1,1.344,1.344,0.0,0.0,4009,4009,0,0,547,547,0,0,2,2,1,0,0,1,3,3,0,0,10498,10498,0,0,496,496,0,0,1,4,5,4,0,0,1,6.541,6.541,0.0,0.0,21426,21426,0,0,575,575,0,0,5,3995,539,1,1,SLOT,ETG_CROSS_SELL,4009.0,False,True,False
A14601,1,Prime,257,Makati_BGC,57.6,41 - 50,1,1,0,1,1.151,0.0,1.151,0.0,3747,0,3747,0,4297,0,4297,0,2,2,1,0,1,0,4,0,2,0,5379,634,2391,0,1511,437,1741,0,0,4,4,2,0,1,1,5.975,0.401,3.761,0.0,7799,634,4811,0,1567,437,1729,0,1,3747,4287,1,1,SLOT,ETG_CROSS_SELL,3747.0,True,False,False
A14636,1,Prime,1,QC,240.6,41 - 50,1,1,1,0,0.058,0.0,0.058,0.0,15,0,15,0,190,0,190,0,1,1,1,0,0,0,0,0,0,0,1778,1778,0,0,547,547,0,0,1,2,2,1,0,0,1,0.567,0.471,0.0,0.096,1984,1778,0,207,468,547,0,79,1,15,190,1,0,SLOT,ETG_CROSS_SELL,15.0,True,False,False
A14718,1,Prime,391,QC,269.4,51 - 60,1,1,1,0,3.013,3.013,0.0,0.0,5699,5699,0,0,437,437,0,0,1,1,0,1,0,0,3,3,0,0,6066,6066,0,0,522,522,0,0,0,3,5,3,2,0,0,7.421,7.421,0.0,0.0,14937,14937,0,0,520,520,0,0,2,5686,437,1,3,SLOT,ETG_CROSS_SELL,5699.0,False,True,False
A14943,2,Prime,667,QC,267.0,Above 60,1,2,1,1,12.557,12.557,0.0,0.0,19438,19438,0,0,361,361,0,0,1,1,1,0,0,0,5,5,0,0,6610,6610,0,0,341,341,0,0,0,3,5,2,2,1,0,47.384,30.848,1.315,0.486,45594,33319,175,295,259,279,314,29,1,19435,350,2,12,SLOT,ETG_CROSS_SELL,9719.0,False,True,False
A15326,1,Elite,1178,Pasay,96.6,Above 60,1,1,1,0,1.948,1.948,0.0,0.0,17175,17175,0,0,13450,13450,0,0,1,1,1,0,0,0,1,1,0,0,3252,3252,0,0,3281,3281,0,0,0,2,2,2,0,0,0,1.609,1.609,0.0,0.0,7149,7149,0,0,4968,4968,0,0,2,17175,13443,1,1,SLOT,ETG_CROSS_SELL,17175.0,False,False,False
A15332,1,Elite,65,Manila,0.0,41 - 50,1,1,1,0,1.053,0.0,0.0,1.053,1304,0,0,1304,43,0,0,43,2,2,1,0,0,1,3,0,1,1,2426,0,277,936,201,0,321,37,2,3,3,1,0,1,1,4.08,0.0,0.836,1.795,4218,0,277,2727,155,0,321,41,4,1298,29,1,1,SLOT,ETG_CROSS_SELL,1304.0,False,True,False
A15333,1,Elite,42,Manila,0.0,41 - 50,1,1,1,0,1.85,0.0,0.378,0.547,1701,0,146,705,173,0,370,36,2,2,1,0,0,1,2,0,1,0,1469,0,365,370,319,0,446,38,4,3,4,1,1,1,1,6.271,0.0,1.391,1.792,6479,0,642,2677,220,0,443,44,4,1691,160,1,1,SLOT,ETG_CROSS_SELL,1701.0,False,True,False
A15370,1,Elite,59,QC,269.4,51 - 60,1,1,1,0,1.219,0.0,1.219,0.0,860,0,860,0,996,0,996,0,1,2,1,1,0,0,9,0,3,1,9334,0,4257,409,902,0,1186,8,1,3,6,3,3,0,0,35.972,0.249,11.538,3.553,33945,605,12510,1681,825,504,1107,13,5,860,991,1,1,SLOT,ETG_CROSS_SELL,860.0,False,False,False
A15507,2,Elite,203,Manila,0.0,41 - 50,1,2,2,0,6.69,2.979,0.0,1.548,9159,3401,0,2532,319,547,0,54,1,1,1,0,0,0,1,1,0,0,3050,3050,0,0,2187,2187,0,0,2,1,1,1,0,0,0,0.642,0.642,0.0,0.0,3050,3050,0,0,2187,2187,0,0,2,9156,306,2,6,SLOT,ETG_CROSS_SELL,4579.5,True,True,True
A15512,1,Prime,37,Makati_BGC,57.6,41 - 50,1,1,1,0,1.286,0.0,0.372,0.271,1815,0,190,718,334,0,496,113,2,2,1,0,1,0,1,0,0,0,1030,0,0,608,109,0,146,105,1,5,6,3,2,1,0,4.637,1.579,2.474,0.362,6749,1388,4330,608,1264,1094,1645,105,2,1808,321,1,1,SLOT,ETG_CROSS_SELL,1815.0,False,True,False
A15620,1,Elite,24,Makati_BGC,50.4,51 - 60,1,1,1,0,0.536,0.0,0.0,0.536,462,0,0,462,23,0,0,23,2,2,2,0,0,0,1,0,0,1,524,0,0,524,17,0,0,17,0,9,11,6,2,0,3,5.747,0.0,0.0,5.747,4907,0,0,4907,21,0,0,21,2,452,15,1,0,SLOT,ETG_CROSS_SELL,462.0,False,True,False
A15723,1,Premium,235,Makati_BGC,48.6,51 - 60,1,1,1,0,1.077,0.0,1.077,0.0,4491,0,4491,0,3466,0,3466,0,2,2,1,0,0,1,2,0,2,0,7873,0,7873,0,3227,0,3227,0,0,20,21,14,4,1,2,42.715,7.372,24.571,0.0,182452,12461,132547,0,3482,440,4710,0,4,4491,3455,1,1,SLOT,ETG_CROSS_SELL,4491.0,False,False,False
A15820,1,Elite,609,Makati_BGC,57.6,Above 60,1,1,0,1,2.647,0.0,0.0,2.647,8879,0,0,8879,65,0,0,65,1,1,1,0,0,0,2,0,0,2,11504,0,0,11504,99,0,0,99,0,3,3,1,1,0,1,9.826,0.0,0.0,9.826,29630,0,0,29630,68,0,0,68,1,8879,58,1,2,SLOT,ETG_CROSS_SELL,8879.0,False,False,False
A15833,1,Prime,3,Pasay,297.0,Above 60,1,1,0,1,0.155,0.0,0.0,0.155,37,0,0,37,43,0,0,43,1,2,2,0,0,0,0,0,0,0,49,0,0,49,3,0,0,3,0,5,10,6,4,0,0,14.315,0.0,3.026,7.035,1953,0,510,826,119,0,285,4,1,29,29,1,0,SLOT,ETG_CROSS_SELL,37.0,False,True,False
A15927,2,Premium,53,Makati_BGC,52.2,51 - 60,2,2,0,2,0.682,0.682,0.0,0.0,982,982,0,0,1094,1094,0,0,2,2,0,0,0,2,2,2,0,0,3453,3453,0,0,1094,1094,0,0,1,7,7,2,0,1,4,3.476,3.476,0.0,0.0,7169,7169,0,0,1259,1259,0,0,1,481,539,1,0,SLOT,ETG_CROSS_SELL,491.0,False,True,False
A15970,2,Elite,758,Manila,0.0,41 - 50,1,2,1,1,17.369,0.0,1.234,11.777,28026,0,1254,20524,139,0,792,30,1,1,0,0,0,1,3,0,0,3,5070,0,0,5070,22,0,0,22,3,1,1,0,0,0,1,3.334,0.0,0.0,3.334,5070,0,0,5070,22,0,0,22,3,28023,131,2,17,SLOT,ETG_CROSS_SELL,14013.0,True,True,True
A16098,1,Elite,68,Makati_BGC,57.6,51 - 60,1,1,1,0,2.036,0.0,0.15,0.868,3071,0,146,1390,121,0,656,29,2,2,2,0,0,0,1,0,1,0,1443,0,773,175,851,0,961,29,1,6,6,5,0,1,0,11.556,1.76,2.624,2.111,23595,2960,4666,5220,711,437,1387,34,1,3062,117,1,2,SLOT,ETG_CROSS_SELL,3071.0,False,True,False
A16233,2,Elite,475,QC,202.8,51 - 60,1,2,1,1,6.087,6.087,0.0,0.0,16811,16811,0,0,2188,2188,0,0,2,2,2,0,0,0,4,4,0,0,5834,5834,0,0,640,640,0,0,0,5,9,7,1,0,1,16.576,16.576,0.0,0.0,27391,27391,0,0,1208,1208,0,0,2,16811,2187,2,6,SLOT,ETG_CROSS_SELL,8405.5,False,False,False
A16236,1,Elite,366,QC,267.0,41 - 50,1,2,2,0,17.133,2.741,0.381,2.827,31028,6592,102,3985,263,437,549,35,1,2,0,0,1,1,0,0,0,0,94,0,0,94,52,0,0,52,0,4,8,0,0,4,4,24.739,4.763,3.629,2.549,26384,6525,1429,3581,346,475,427,37,1,31026,262,2,17,SLOT,ETG_CROSS_SELL,15514.0,False,True,False
A16242,1,Elite,104,Makati_BGC,45.0,Above 60,1,1,0,1,0.986,0.986,0.0,0.0,1415,1415,0,0,1094,1094,0,0,2,2,2,0,0,0,5,5,0,0,16656,16656,0,0,2969,2969,0,0,0,5,5,5,0,0,0,15.075,15.075,0.0,0.0,36969,36969,0,0,1793,1793,0,0,1,1414,1094,1,0,SLOT,ETG_CROSS_SELL,1415.0,False,True,False
A16331,2,Prime,220,Pasay,182.4,Above 60,1,2,2,0,7.863,0.45,4.334,0.0,9081,407,6007,0,601,219,757,0,1,1,1,0,0,0,3,3,0,0,5350,5350,0,0,483,483,0,0,0,3,4,4,0,0,0,21.042,10.407,1.222,0.057,21939,12818,671,44,443,476,318,32,1,9069,598,2,7,SLOT,ETG_CROSS_SELL,4540.5,False,True,False
A16416,1,Elite,19,Makati_BGC,67.8,41 - 50,1,1,0,1,0.198,0.0,0.0,0.198,273,0,0,273,52,0,0,52,1,1,0,0,0,1,0,0,0,0,151,0,0,151,22,0,0,22,0,5,6,0,2,1,3,0.895,0.0,0.0,0.895,950,0,0,950,33,0,0,33,2,262,44,1,0,SLOT,ETG_CROSS_SELL,273.0,False,True,False
A16660,1,Elite,174,Makati_BGC,75.6,41 - 50,1,1,1,0,1.058,0.0,0.0,1.058,2537,0,0,2537,44,0,0,44,1,1,0,0,0,1,1,0,0,1,1502,0,0,1502,29,0,0,29,1,6,6,3,2,0,1,12.78,0.0,0.0,12.78,29904,0,0,29904,41,0,0,41,6,2537,44,1,1,SLOT,ETG_CROSS_SELL,2537.0,False,False,False
A16669,2,Elite,117,Manila,0.0,51 - 60,1,2,2,0,1.774,0.0,0.0,1.774,3411,0,0,3411,32,0,0,32,2,2,1,0,1,0,4,0,0,4,3434,0,0,3434,17,0,0,17,0,4,7,3,0,2,2,29.948,0.0,0.046,23.952,48282,0,15,38907,24,0,262,24,4,3397,29,2,1,SLOT,ETG_CROSS_SELL,1705.5,False,True,False
A16731,1,Elite,311,Makati_BGC,46.2,Above 60,1,1,1,0,5.406,0.068,0.757,0.977,10629,117,1925,1502,1075,2916,2226,54,2,2,1,0,1,0,13,0,3,4,21363,0,4345,6337,583,0,1342,37,0,10,10,3,0,1,6,65.751,6.598,8.578,14.171,90529,12484,10964,19346,437,479,1187,31,1,10629,1064,1,5,SLOT,ETG_CROSS_SELL,10629.0,False,False,False
A16851,1,Prime,63,Makati_BGC,57.6,41 - 50,1,1,0,1,0.789,0.0,0.0,0.789,1392,0,0,1392,41,0,0,41,2,2,0,0,0,2,0,0,0,0,1508,0,0,1508,51,0,0,51,0,5,5,1,0,2,2,3.263,0.0,0.202,2.34,6323,0,146,5077,117,0,583,47,1,1385,29,1,0,SLOT,ETG_CROSS_SELL,1392.0,False,True,False
A16942,2,Elite,19,Manila,0.0,41 - 50,1,2,1,1,0.419,0.0,0.0,0.419,548,0,0,548,19,0,0,19,1,1,0,0,1,0,0,0,0,0,972,0,0,972,111,0,0,111,0,4,9,4,2,3,0,20.119,0.0,6.108,9.275,47081,0,7567,29604,473,0,919,59,2,539,15,2,0,SLOT,ETG_CROSS_SELL,274.0,False,True,False
A16986,1,Elite,62,Pasay,96.6,51 - 60,1,1,1,0,2.548,0.0,0.0,2.548,1129,0,0,1129,7,0,0,7,2,2,0,1,0,1,5,0,0,5,1371,0,0,1371,4,0,0,4,0,4,6,4,1,0,1,14.271,0.0,0.0,14.271,6709,0,0,6709,9,0,0,9,3,1123,0,1,2,SLOT,ETG_CROSS_SELL,1129.0,False,True,False
