user_id,segment,expected_dollars_per_hour
A47683,DT_HOST,261.075
A6083,DT_HOST,258.435
A50196,DT_HOST,255.915
A31620,DT_HOST,252.435
A27118,DT_HOST,248.115
A36801,DT_HOST,247.755
A10582,DT_HOST,247.395
A49777,DT_HOST,247.275
A52176,DT_HOST,246.555
A45881,DT_HOST,245.955
A30908,DT_HOST,245.595
A27443,DT_HOST,244.395
A32902,DT_HOST,242.595
A3020,DT_HOST,242.235
A5180,DT_HOST,241.155
A38391,DT_HOST,240.555
A2607,DT_HOST,238.995
A18377,DT_HOST,238.635
A31563,DT_HOST,233.475
A14266,DT_HOST,231.195
A31039,DT_HOST,229.635
A5802,DT_HOST,229.515
A1589,DT_HOST,229.275
A21237,DT_HOST,227.595
A34329,DT_HOST,227.355
A50404,DT_HOST,226.875
A33678,DT_HOST,225.555
A5332,DT_HOST,224.715
A13440,DT_HOST,224.355
A4,DT_HOST,223.275
A550,DT_HOST,222.915
A2677,DT_HOST,222.675
A47232,DT_HOST,222.315
A9779,DT_HOST,222.315
A40150,DT_HOST,222.315
A51280,DT_HOST,222.315
A9743,DT_HOST,222.075
A31492,DT_HOST,221.715
A12495,DT_HOST,219.675
A17044,DT_HOST,219.075
A4523,DT_HOST,218.595
A1105,DT_HOST,216.675
A33862,DT_HOST,216.315
A7,DT_HOST,216.315
A20640,DT_HOST,215.475
A49581,DT_HOST,215.115
A12522,DT_HOST,214.395
A19982,DT_HOST,214.155
A28857,DT_HOST,213.675
A30984,DT_HOST,210.9975
A42279,DT_HOST,209.955
A15752,DT_HOST,208.995
A41611,DT_HOST,208.275
A6044,DT_HOST,208.275
A27984,DT_HOST,207.075
A38563,DT_HOST,206.115
A10846,DT_HOST,204.435
A6694,DT_HOST,204.315
A8802,DT_AUTOMATION,24411.9
A27897,DT_AUTOMATION,22059.9
A30262,DT_AUTOMATION,21637.5
A40399,DT_AUTOMATION,17862.3
A40627,DT_AUTOMATION,16172.7
A19297,DT_AUTOMATION,14192.7
A35880,DT_AUTOMATION,13115.1
A35275,DT_AUTOMATION,12008.7
A38021,DT_AUTOMATION,11951.1
A21659,DT_AUTOMATION,11819.1
A44020,DT_AUTOMATION,11754.3
A29480,DT_AUTOMATION,11600.7
A33438,DT_AUTOMATION,11310.3
A30799,DT_AUTOMATION,11060.7
A12776,DT_AUTOMATION,10794.3
A34776,DT_AUTOMATION,10391.1
A26370,DT_AUTOMATION,10350.3
A48548,DT_AUTOMATION,9896.7
A17756,DT_AUTOMATION,9894.3
A29429,DT_AUTOMATION,9858.3
A17532,DT_AUTOMATION,9841.5
A3570,DT_AUTOMATION,9819.9
A42010,DT_AUTOMATION,9584.7
A20829,DT_AUTOMATION,9479.1
A31756,DT_AUTOMATION,9255.9
A149,DT_AUTOMATION,9231.9
A48899,DT_AUTOMATION,9155.1
A30684,DT_AUTOMATION,9147.9
A53049,DT_AUTOMATION,9140.7
A26454,DT_AUTOMATION,9099.9
A38833,DT_AUTOMATION,8850.300000000001
A11850,DT_AUTOMATION,8643.9
A42420,DT_AUTOMATION,8444.699999999999
A33403,DT_AUTOMATION,8331.9
A31787,DT_AUTOMATION,8159.1
A754,DT_AUTOMATION,8137.500000000001
A32879,DT_AUTOMATION,7983.9
A9861,DT_AUTOMATION,7933.5
A27343,DT_AUTOMATION,7904.7
A33589,DT_AUTOMATION,7885.5
A47939,DT_AUTOMATION,7849.5
A40185,DT_AUTOMATION,7820.7
A6987,DT_AUTOMATION,7729.5
A31141,DT_AUTOMATION,7650.3
A45499,DT_AUTOMATION,7513.5
A50012,DT_AUTOMATION,7475.1
A39491,DT_AUTOMATION,7419.9
A17587,DT_AUTOMATION,7381.500000000001
A43229,DT_AUTOMATION,7244.7
A35692,DT_AUTOMATION,7239.9
A41127,DT_AUTOMATION,7227.9
A173,DT_AUTOMATION,7225.5
A30290,DT_AUTOMATION,7213.5
A22232,DT_AUTOMATION,7165.5
A19536,DT_AUTOMATION,7146.300000000001
A20350,DT_AUTOMATION,7131.900000000001
A26599,DT_AUTOMATION,7055.1
A38475,DT_AUTOMATION,7040.7
A23782,DT_AUTOMATION,6975.9
A6551,DT_AUTOMATION,6935.1
